SADDLE,2015,6/9/2015 0:00,143,Lightning,1543,40.69361111,-123.5341667
EAST,2015,8/1/2015 0:00,90,Lightning,1529.8,41.01416667,-123.4677778
SODA,2011,9/3/2011 0:00,,Equipment Use,1528,35.351389,-120.005278
RUTH,2011,9/23/2011 0:00,10,Debris Burning,1460,40.23833333,-123.3225
COMBAT,2014,5/16/2014 0:00,,Missing/Undefined,1457,33.4211111,-117.5536111
CLEAR,2012,8/4/2012 0:00,7,Lightning,1452,35.52583333,-118.465
CREEK,2015,7/31/2015 0:00,0,Miscellaneous,1450,37.070409,-121.073904
SODA,2014,1/13/2014 0:00,68,Miscellaneous,1435,36.20138889,-118.5180556
SAND,2012,7/17/2012 0:00,3,Equipment Use,1428,35.1108,-118.3208
MDF DH SCORPION,2011,7/15/2011 0:00,8,Railroad,1418,41.805,-121.3627778
STEELHEAD,2015,7/30/2015 0:00,,Missing/Undefined,1404,40.1678,-123.6389
FALLS,2013,8/5/2013 0:00,9,Miscellaneous,1383.25,33.61916667,-117.4161111
GULCH,2014,9/10/2014 0:00,,Missing/Undefined,1375,40.7302778,-122.1725
CONSTANTIA,2010,7/24/2010 0:00,19,Lightning,1369,39.9489,-120.0572
POST,2010,8/24/2010 0:00,4,Miscellaneous,1312,34.8477778,-118.873889
BULLARD,2010,8/27/2010 0:00,19,Missing/Undefined,1307,39.3769444,-121.140833
SOLIMAR,2015,12/26/2015 0:00,,Missing/Undefined,1288,34.3141667,-119.3527778
GENERAL,2013,5/26/2013 0:00,5,Equipment Use,1271,33.04849,-116.520841
SAND 2,2010,7/16/2010 0:00,4,Lightning,1255,35.7767,-117.972788
BEAR CREEK,2010,10/28/2010 0:00,2,Missing/Undefined,1253,34.642222,-120.574722
MONO,2010,7/26/2010 0:00,8,Lightning,1205,37.93,-118.98
SHU DALE,2012,7/5/2012 0:00,2,Powerline,1204,40.473717,-122.480664
STAGE,2011,6/27/2011 0:00,2,Missing/Undefined,1200,35.8119,-118.8442
MDF DH MAMMOTH,2011,7/15/2011 0:00,8,Railroad,1194,41.78305556,-121.3688889
SPANISH,2012,7/18/2012 0:00,8,Miscellaneous,1151,40.7303,-120.2864
POZO,2010,8/21/2010 0:00,4,Miscellaneous,1150,35.3063889,-120.319722
HILL,2011,9/2/2011 0:00,0,Miscellaneous,1150,34.35527778,-117.4397222
RAMSEY,2012,8/11/2012 0:00,16,Campfire,1150,38.3825,-120.1613889
WOLF,2010,7/25/2010 0:00,19,Lightning,1142,38.5513889,-119.7125
FISH,2012,7/7/2012 0:00,4,Powerline,1135,37.10583,-118.26453
COVE ,2011,5/27/2011 0:00,1,Miscellaneous,1122,35.64055556,-118.3905556
MILTON,2011,9/9/2011 0:00,,Lightning,1122,37.944722,-120.843889
BUCKEYE,2011,9/25/2011 0:00,9,Lightning,1100,38.245,-119.3616667
TASSAJARA,2015,9/19/2015 0:00,8,Missing/Undefined,1100,36.391049,-121.595123
DARK HOLE,2014,7/16/2014 0:00,73,Lightning,1077,37.80538,-119.61309
POWER,2013,8/5/2013 0:00,13,Campfire,1070,38.2525,-120.0291667
AVALANCHE,2011,7/31/2011 0:00,42,Lightning,1069,37.66323,-119.70395
,2015,4/18/2015 0:00,6,Equipment Use,1049,33.884317,-117.642767
LUMPKIN,2015,9/11/2015 0:00,7,Miscellaneous,1045,39.51916667,-121.3386111
BAR,2010,7/31/2010 0:00,11,Arson,1040,40.0141667,-121.174444
GILMAN,2011,8/6/2011 0:00,2,Miscellaneous,1026.6,33.9375,-117.0817
TAMARACK,2011,9/13/2011 0:00,21,Lightning,1015,37.76636,-119.74059
MCKINLEY                 ,2010,5/20/2010 0:00,,Equipment Use,1000,33.875,-117.5061111
RUSHMORE,2012,8/4/2012 0:00,,Missing/Undefined,1000,33.933889,-116.719722
KELLEY,2014,7/26/2014 0:00,3,Missing/Undefined,1000,37.350839,-120.962832
OLD 2,2012,6/17/2012 0:00,3,Miscellaneous,995,32.71022,-116.385353
SALT CREEK,2012,8/1/2012 0:00,14,Miscellaneous,988,40.83388889,-122.3186111
HELLO,2012,8/6/2012 0:00,61,Lightning,970,41.95972222,-123.2330556
VERNON,2010,8/9/2010 0:00,87,Lightning,965,37.9968,-119.7268
SILVERADO,2014,9/12/2014 0:00,11,Miscellaneous,959.2,33.74666667,-117.5977778
WASH,2010,5/15/2010 0:00,0,Equipment Use,946,35.1131,-119.7753
MONTE,2010,8/21/2010 0:00,2,Children,930,32.8880556,-116.828333
CORRINE,2015,6/18/2015 0:00,,Miscellaneous,920,37.168791,-119.499888
BALES,2010,6/4/2010 0:00,0,Equipment Use,915.01,35.861762,-118.98563
,2013,5/19/2013 0:00,,Missing/Undefined,912,34.503787,-118.616166
PALERMO                  ,2010,7/4/2010 0:00,,Children,900,39.46694444,-121.5880556
FEEDER,2015,8/2/2015 0:00,34,Lightning,898,41.60111111,-123.8513889
PINECREST,2010,8/9/2010 0:00,0,Lightning,884,38.2283333,-119.914167
STOKES                   ,2010,8/17/2010 0:00,,Miscellaneous,879,36.57805555,-119.1711111
WILLIAMS,2015,8/2/2015 0:00,34,Lightning,870,41.58333333,-123.7516667
CAMPBELL,2014,1/2/2014 0:00,8,Campfire,865,40.065,-121.7383333
MERIDIAN,2015,10/3/2015 0:00,1,Powerline,860,39.879874,-121.919264
CENTER,2011,3/18/2011 0:00,4,Missing/Undefined,850,37.150003,-118.316397
SEVEN,2012,7/10/2012 0:00,,Missing/Undefined,840,37.726667,-120.445556
MDF DG GULCH,2014,7/3/2014 0:00,29,Railroad,840,41.46638889,-120.9241667
BEAR,2012,8/6/2012 0:00,8,Lightning,835,37.35833333,-118.9791667
METZ,2011,5/12/2011 0:00,,Miscellaneous,832,36.415833,-121.278056
COWBOY,2010,9/2/2010 0:00,4,Arson,827,32.6194,-116.5214
INDIAN,2011,9/10/2011 0:00,5,Lightning,810,35.3061,-118.5394
MORTAR,2015,4/28/2015 0:00,,Missing/Undefined,800,33.3591667,-117.3888889
1-57 DOBBYN,2015,8/1/2015 0:00,16,Lightning,788,40.2345,-123.646333
GRANITE,2011,7/9/2011 0:00,,Missing/Undefined,782,36.075786,-118.957457
PEAK,2012,7/28/2012 0:00,48,Miscellaneous,780,40.02666667,-120.415
HIGHWAY,2011,6/24/2011 0:00,,Equipment Use,767,35.589722,-120.4225
DYER,2015,7/30/2015 0:00,7,Lightning,757.39,40.88111111,-123.4513889
LAGUNA,2011,5/18/2011 0:00,12,Arson,751,32.8189,-114.5092
VOLCANO,2012,8/1/2012 0:00,,Equipment Use,726,33.521111,-117.296667
RANCHO,2013,7/19/2013 0:00,6,Miscellaneous,722,34.89055556,-118.9133333
PEDLEY,2010,5/12/2010 0:00,1,Equipment Use,716.7,34.0214,-117.4805
BEACON,2011,8/27/2011 0:00,,Arson,715,38.286667,-122.003611
LAKE,2013,5/17/2013 0:00,0,Miscellaneous,710,34.51305556,-118.6333333
CACTUS,2010,7/15/2010 0:00,1,Lightning,706,33.6669444,-116.910833
PEANUT,2015,6/11/2015 0:00,,Missing/Undefined,700,35.9707,-121.2691
FIGUEROA,2011,9/3/2011 0:00,2,Equipment Use,698,34.84944444,-120.0544444
BLUE,2011,12/1/2011 0:00,,Miscellaneous,698,38.342222,-120.365
BRIGGS,2010,7/29/2010 0:00,0,Miscellaneous,692,34.4383333,-118.281667
CIENEGA,2015,10/12/2015 0:00,4,Miscellaneous,690,36.691685,-121.340854
HILL,2012,6/23/2012 0:00,10,Miscellaneous,689,34.73111111,-118.8683333
POTATO,2010,7/24/2010 0:00,4,Lightning,686,38.22353,-119.1186
WINDY PEAK,2013,8/23/2013 0:00,76,Lightning,681,36.992,-118.61
HUNTER,2014,5/26/2014 0:00,8,Missing/Undefined,677,37.568954,-120.14159
CLARK,2015,7/31/2015 0:00,,Lightning,673,40.7454,-123.4161
ELK,2015,9/2/2015 0:00,2,Equipment Use,670,39.21277778,-122.9294444
58 COMPLEX,2011,8/3/2011 0:00,1,Powerline,665,35.2917,-119.6619
CASTLE 1,2015,7/30/2015 0:00,92,Lightning,661.6,40.72388889,-123.4941667
MDFDGBSFMU17ANTELOPE,2012,8/21/2012 0:00,25,Lightning,650,41.58277778,-120.8111111
DALTON,2014,7/2/2014 0:00,7,Lightning,641,41.72611111,-121.0316667
SUMMIT,2015,8/2/2015 0:00,,Lightning,639,41.58777778,-123.7972222
MINT,2011,9/17/2011 0:00,0,Campfire,634,34.54916667,-118.3280556
EVANS,2014,7/15/2014 0:00,3,Lightning,633,39.68138889,-120.0872222
MIGUELITO,2014,5/13/2014 0:00,,Missing/Undefined,632,34.5886111,-120.4736111
IKEA,2011,6/12/2011 0:00,0,Missing/Undefined,629,35.0242,-119.0219
CALF,2012,7/16/2012 0:00,2,Miscellaneous,620,35.3872,-120.5564
PASS,2011,8/3/2011 0:00,59,Equipment Use,616.5,39.83111111,-123.0997222
JUNCTION,2014,8/18/2014 0:00,2,Missing/Undefined,612,37.341111,-119.652778
POINSETTIA,2014,5/14/2014 0:00,,Missing/Undefined,600,33.1136111,-117.2897222
