NWCG_REPORTING_UNIT_NAME,DURATION,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE
Butte Unit,,Debris Burning,0.15,39.595545,-121.430251
Monte Vista Unit,,Missing/Undefined,1,33.288976,-117.225515
Tuolumne-Calaveras Unit,1,Debris Burning,0.3,38.33161,-120.521793
Merced-Mariposa Unit,,Children,0.2,37.31305555,-120.5830556
Eldorado National Forest,0,Debris Burning,0.5,38.5275,-120.434167
Tahoe National Forest,0,Campfire,0.1,39.4130556,-120.076111
Sierra National Forest,1,Miscellaneous,1.48,37.2891667,-119.582222
Sacramento River National Wildlife Refuge,,Equipment Use,0.1,39.416632,-122.008925
Nevada-Yuba-Placer Unit,,Miscellaneous,0.1,39.386667,-120.1025
Riverside Unit,,Arson,1,33.98111111,-117.48
San Bernardino National Forest,0,Equipment Use,0.1,34.3352778,-117.460278
San Bernardino National Forest,0,Campfire,0.1,33.6813889,-116.669167
Riverside Unit,,Miscellaneous,0.1,33.56888888,-116.13
Riverside Unit,,Miscellaneous,0.1,33.85888888,-117.3269444
Angeles National Forest,0,Miscellaneous,0.1,34.1769444,-117.888889
Siskiyou Unit,,Powerline,7.3,41.608783,-122.478467
San Bernardino Unit,,Missing/Undefined,0.5,37.374444,-118.366944
Monte Vista Unit,,Debris Burning,0.1,32.9575,-116.597778
Riverside Unit,,Miscellaneous,1,33.87305555,-117.2111111
Riverside Unit,,Miscellaneous,1.5,33.97111111,-117.5488889
Fresno-Kings Unit,,Debris Burning,0.1,36.97194444,-120.6088889
Central California District,0,Missing/Undefined,0.1,36.5511,-118.1656
Butte Unit,,Missing/Undefined,1,39.647366,-121.60826
Butte Unit,0,Missing/Undefined,0.1,39.642036,-121.649084
San Bernardino National Forest,7,Campfire,0.1,33.6383333,-116.621667
Merced-Mariposa Unit,,Miscellaneous,0.1,37.17111111,-120.3130556
Yosemite National Park,0,Powerline,0.1,37.5228,-119.6378
Riverside Unit,,Miscellaneous,0.3,33.54888888,-116.1130556
San Bernardino Unit,,Missing/Undefined,0.01,34.372143,-116.859428
San Bernardino Unit,0,Powerline,0.5,34.417565,-117.554967
